Drug,SideEffect,OrganClass,Reported,Expected,TimesMoreThanExpected,PRR,ROR,SignalScore,Status,ReferenceSetStatus,PctSerious,PctFatal,PctRechallengePositive,PctClinicianReported,EverFlagged,FirstFlagged
APIXABAN,TREMOR,Nervous system,787,786.0,1.00,1.00,1.00,-0.116,Ordinary,Not in reference set,82.47,18.17,4.70,68.23,No,
SERTRALINE,HALLUCINATION,Psychiatric,533,523.1,1.02,1.02,1.02,-0.116,Ordinary,Not in reference set,80.11,13.88,5.25,67.17,No,
CELECOXIB,SEIZURE,Nervous system,506,495.3,1.02,1.02,1.02,-0.116,Ordinary,Not in reference set,83.20,15.61,7.71,65.02,No,
ISOTRETINOIN,RHABDOMYOLYSIS,Musculoskeletal,487,475.7,1.02,1.02,1.03,-0.116,Ordinary,Not in reference set,83.57,16.63,6.16,64.68,No,
ESOMEPRAZOLE,TREMOR,Nervous system,911,915.2,1.00,1.00,0.99,-0.116,Ordinary,Not in reference set,82.55,17.89,5.05,66.96,No,
AZITHROMYCIN,MUSCULAR WEAKNESS,Musculoskeletal,898,901.6,1.00,1.00,1.00,-0.116,Ordinary,Not in reference set,82.52,18.15,4.68,67.71,No,
INSULIN GLARGINE,INSOMNIA,Psychiatric,1340,1364.3,0.98,0.98,0.98,-0.116,Ordinary,Not in reference set,83.36,16.49,5.82,66.27,No,
INSULIN GLARGINE,RASH,Skin,1489,1521.1,0.98,0.98,0.98,-0.116,Ordinary,Not in reference set,82.94,17.39,4.97,65.55,No,
CLOZAPINE,HAEMORRHAGE,Vascular,689,684.5,1.01,1.01,1.01,-0.116,Ordinary,Not in reference set,81.28,20.03,6.10,69.09,No,
INSULIN GLARGINE,ANGIOEDEMA,Skin,601,593.5,1.01,1.01,1.01,-0.117,Ordinary,Not in reference set,81.86,17.47,3.16,65.56,No,
LEVOTHYROXINE,AORTIC ANEURYSM,Vascular,704,700.2,1.01,1.01,1.01,-0.117,Ordinary,Not in reference set,83.95,15.48,4.69,64.91,No,
ADALIMUMAB,MYALGIA,Musculoskeletal,980,987.7,0.99,0.99,0.99,-0.117,Ordinary,Not in reference set,82.55,16.94,5.31,68.47,No,
CLOZAPINE,CONFUSIONAL STATE,Psychiatric,660,654.6,1.01,1.01,1.01,-0.117,Ordinary,Not in reference set,84.09,17.42,5.30,66.82,No,
WARFARIN,TACHYCARDIA,Cardiac,1269,1290.4,0.98,0.98,0.98,-0.117,Ordinary,Not in reference set,82.74,16.86,5.75,69.19,No,
MONTELUKAST,ANGIOEDEMA,Skin,885,888.6,1.00,1.00,1.00,-0.117,Ordinary,Not in reference set,84.86,18.31,5.65,68.47,No,
INSULIN GLARGINE,DEPRESSION,Psychiatric,1602,1640.8,0.98,0.97,0.97,-0.117,Ordinary,Not in reference set,83.65,17.17,5.87,64.61,No,
HYDROXYCHLOROQUINE,DRUG INEFFECTIVE,General,1265,1286.4,0.98,0.98,0.98,-0.117,Ordinary,Not in reference set,82.37,17.39,6.01,66.72,No,
ONDANSETRON,ANAEMIA,Blood,1261,1282.2,0.98,0.98,0.98,-0.117,Ordinary,Not in reference set,82.24,16.89,5.08,65.74,No,
CIPROFLOXACIN,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,1044,1054.8,0.99,0.99,0.99,-0.117,Ordinary,Not in reference set,84.39,18.01,5.75,67.24,No,
METHOTREXATE,NIGHTMARE,Psychiatric,770,768.9,1.00,1.00,1.00,-0.117,Ordinary,Not in reference set,83.25,16.75,5.58,64.03,No,
LEVOFLOXACIN,RHABDOMYOLYSIS,Musculoskeletal,832,833.5,1.00,1.00,1.00,-0.117,Ordinary,Not in reference set,84.01,18.51,4.09,65.99,No,
PREDNISONE,MEMORY IMPAIRMENT,Nervous system,781,780.4,1.00,1.00,1.00,-0.117,Ordinary,Not in reference set,85.92,17.29,4.87,67.09,No,
IBUPROFEN,SEROTONIN SYNDROME,Nervous system,652,646.5,1.01,1.01,1.01,-0.117,Ordinary,Not in reference set,82.82,17.79,3.68,67.33,No,
ADALIMUMAB,DEHYDRATION,Metabolic,653,647.6,1.01,1.01,1.01,-0.117,Ordinary,Not in reference set,81.01,17.00,5.05,68.45,No,
ROSUVASTATIN,FOETAL MALFORMATION,Congenital,632,625.9,1.01,1.01,1.01,-0.117,Ordinary,Not in reference set,82.75,18.83,5.70,67.25,No,
SERTRALINE,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1492,1525.3,0.98,0.98,0.98,-0.117,Ordinary,Not in reference set,82.31,15.62,6.10,65.01,No,
METFORMIN,AORTIC ANEURYSM,Vascular,646,640.4,1.01,1.01,1.01,-0.117,Ordinary,Not in reference set,82.97,17.34,5.88,65.48,No,
GABAPENTIN,PHOTOSENSITIVITY REACTION,Skin,528,518.4,1.02,1.02,1.02,-0.117,Ordinary,Not in reference set,82.58,15.91,6.06,65.72,No,
MONTELUKAST,MALAISE,General,1415,1444.4,0.98,0.98,0.98,-0.117,Ordinary,Not in reference set,83.18,17.67,6.01,66.50,No,
SITAGLIPTIN,DIARRHOEA,Gastrointestinal,1248,1268.9,0.98,0.98,0.98,-0.117,Ordinary,Not in reference set,82.13,17.23,6.25,67.87,No,
CLOZAPINE,COUGH,Respiratory,961,968.3,0.99,0.99,0.99,-0.117,Ordinary,Not in reference set,81.79,17.48,5.10,66.39,No,
AMIODARONE,URTICARIA,Skin,814,815.0,1.00,1.00,1.00,-0.117,Ordinary,Not in reference set,83.05,16.58,6.88,68.43,No,
CLOZAPINE,NEUTROPENIA,Blood,499,488.6,1.02,1.02,1.02,-0.118,Ordinary,Not in reference set,87.37,18.04,5.41,69.14,No,
CLOPIDOGREL,SUICIDAL IDEATION,Psychiatric,1335,1360.5,0.98,0.98,0.98,-0.118,Ordinary,Not in reference set,83.75,17.23,5.47,65.39,No,
CIPROFLOXACIN,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1327,1352.0,0.98,0.98,0.98,-0.118,Ordinary,Not in reference set,82.29,17.78,5.88,65.71,No,
HYDROXYCHLOROQUINE,ANXIETY,Psychiatric,963,970.5,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,84.22,19.00,6.85,65.94,No,
WARFARIN,PANCYTOPENIA,Blood,903,907.8,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,84.50,16.28,5.32,66.89,No,
ISOTRETINOIN,TACHYCARDIA,Cardiac,655,649.8,1.01,1.01,1.01,-0.118,Ordinary,Not in reference set,83.21,15.88,6.41,65.04,No,
FEBUXOSTAT,NAUSEA,Gastrointestinal,1271,1293.3,0.98,0.98,0.98,-0.118,Ordinary,Not in reference set,85.21,16.92,6.06,66.09,No,
OMEPRAZOLE,TENDON RUPTURE,Musculoskeletal,1254,1275.5,0.98,0.98,0.98,-0.118,Ordinary,Not in reference set,81.98,18.50,5.66,66.91,No,
METFORMIN,DIABETIC KETOACIDOSIS,Metabolic,1091,1104.5,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,80.38,16.59,5.87,64.71,No,
ATORVASTATIN,DIABETIC KETOACIDOSIS,Metabolic,1089,1102.4,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,84.11,19.10,5.33,69.24,No,
HYDROXYCHLOROQUINE,SUICIDAL IDEATION,Psychiatric,979,987.3,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,83.25,18.08,6.44,69.77,No,
TRAMADOL,DIABETIC KETOACIDOSIS,Metabolic,785,784.9,1.00,1.00,1.00,-0.118,Ordinary,Not in reference set,83.31,17.20,4.97,67.39,No,
LEVOTHYROXINE,TENDON RUPTURE,Musculoskeletal,1512,1546.9,0.98,0.97,0.97,-0.118,Ordinary,Not in reference set,83.07,18.58,4.83,63.96,No,
MONTELUKAST,URTICARIA,Skin,1426,1456.3,0.98,0.98,0.98,-0.118,Ordinary,Not in reference set,84.15,17.32,5.33,66.06,No,
PREDNISONE,PARAESTHESIA,Nervous system,1031,1041.8,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,83.03,18.72,5.24,64.99,No,
WARFARIN,THROMBOCYTOPENIA,Blood,760,759.0,1.00,1.00,1.00,-0.118,Ordinary,Not in reference set,80.26,18.16,4.61,69.74,No,
CANAGLIFLOZIN,PARAESTHESIA,Nervous system,658,653.1,1.01,1.01,1.01,-0.118,Ordinary,Not in reference set,81.00,17.63,5.17,65.35,No,
ALBUTEROL,PANCYTOPENIA,Blood,911,916.4,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,83.64,16.90,5.16,67.40,No,
FUROSEMIDE,HEADACHE,Nervous system,2184,2257.0,0.97,0.96,0.96,-0.118,Ordinary,Not in reference set,81.78,15.84,4.40,66.90,No,
PANTOPRAZOLE,PRURITUS,Skin,1510,1545.0,0.98,0.98,0.97,-0.118,Ordinary,Not in reference set,81.39,17.09,5.23,67.35,No,
AMLODIPINE,MYOCARDIAL INFARCTION,Cardiac,1597,1636.8,0.98,0.97,0.97,-0.118,Ordinary,Not in reference set,82.34,16.47,4.70,66.31,No,
LEVOTHYROXINE,ACUTE KIDNEY INJURY,Renal,1481,1514.6,0.98,0.98,0.97,-0.118,Ordinary,Not in reference set,84.13,18.03,5.47,68.33,No,
AZITHROMYCIN,BACK PAIN,Musculoskeletal,1114,1129.0,0.99,0.99,0.99,-0.118,Ordinary,Not in reference set,83.93,17.24,5.30,67.32,No,
WARFARIN,HEPATIC FAILURE,Hepatobiliary,526,516.7,1.02,1.02,1.02,-0.118,Ordinary,Not in reference set,82.89,16.16,3.80,65.78,No,
METFORMIN,ACUTE KIDNEY INJURY,Renal,1358,1385.3,0.98,0.98,0.98,-0.118,Ordinary,Not in reference set,84.17,16.13,6.33,67.67,No,
TRAMADOL,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1325,1350.6,0.98,0.98,0.98,-0.118,Ordinary,Not in reference set,81.58,16.91,4.23,64.30,No,
VALPROATE,ALOPECIA,Skin,657,652.3,1.01,1.01,1.01,-0.118,Ordinary,Not in reference set,81.13,16.74,4.57,69.25,No,
TAMSULOSIN,THROMBOCYTOPENIA,Blood,491,480.7,1.02,1.02,1.02,-0.118,Ordinary,Not in reference set,84.32,16.09,5.30,68.43,No,
AMIODARONE,DRUG INEFFECTIVE,General,1260,1282.5,0.98,0.98,0.98,-0.119,Ordinary,Not in reference set,83.57,16.35,4.92,67.14,No,
SERTRALINE,HYPOGLYCAEMIA,Metabolic,1066,1078.9,0.99,0.99,0.99,-0.119,Ordinary,Not in reference set,82.74,19.23,6.00,64.45,No,
LEVOFLOXACIN,MUSCULAR WEAKNESS,Musculoskeletal,895,900.1,0.99,0.99,0.99,-0.119,Ordinary,Not in reference set,85.36,15.20,5.92,66.82,No,
FEBUXOSTAT,HYPOGLYCAEMIA,Metabolic,568,560.2,1.01,1.01,1.02,-0.119,Ordinary,Not in reference set,82.57,18.31,6.16,66.73,No,
AMLODIPINE,ANXIETY,Psychiatric,1819,1871.8,0.97,0.97,0.97,-0.119,Ordinary,Not in reference set,83.34,17.21,6.54,66.52,No,
ATORVASTATIN,HYPONATRAEMIA,Metabolic,1198,1217.5,0.98,0.98,0.98,-0.119,Ordinary,Not in reference set,83.72,16.11,5.68,68.20,No,
ALLOPURINOL,THROMBOCYTOPENIA,Blood,499,489.0,1.02,1.02,1.02,-0.119,Ordinary,Not in reference set,83.37,17.03,4.61,68.54,No,
DULOXETINE,TORSADE DE POINTES,Cardiac,388,375.0,1.03,1.04,1.04,-0.119,Ordinary,Not in reference set,85.05,17.53,7.22,63.66,No,
CANAGLIFLOZIN,MYALGIA,Musculoskeletal,965,973.4,0.99,0.99,0.99,-0.119,Ordinary,Not in reference set,83.94,15.65,5.91,66.63,No,
VALPROATE,OFF LABEL USE,General,824,826.1,1.00,1.00,1.00,-0.119,Ordinary,Not in reference set,82.89,16.99,5.22,69.05,No,
CLOPIDOGREL,ARTHRALGIA,Musculoskeletal,1529,1566.0,0.98,0.97,0.97,-0.119,Ordinary,Not in reference set,84.50,18.51,5.95,69.65,No,
ADALIMUMAB,OFF LABEL USE,General,814,815.8,1.00,1.00,1.00,-0.119,Ordinary,Not in reference set,80.59,15.97,4.67,67.69,No,
HYDROXYCHLOROQUINE,HYPOTENSION,Vascular,835,837.8,1.00,1.00,1.00,-0.119,Ordinary,Not in reference set,81.80,17.01,6.47,65.75,No,
AZITHROMYCIN,PANCYTOPENIA,Blood,801,802.3,1.00,1.00,1.00,-0.119,Ordinary,Not in reference set,83.02,15.73,4.37,65.67,No,
SERTRALINE,AORTIC ANEURYSM,Vascular,523,513.9,1.02,1.02,1.02,-0.119,Ordinary,Not in reference set,81.84,17.78,6.31,65.58,No,
FUROSEMIDE,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,1183,1202.3,0.98,0.98,0.98,-0.119,Ordinary,Not in reference set,83.01,16.40,5.66,67.71,No,
AZITHROMYCIN,URTICARIA,Skin,1116,1132.0,0.99,0.98,0.98,-0.119,Ordinary,Not in reference set,81.00,17.20,4.39,67.83,No,
OMEPRAZOLE,DIABETIC KETOACIDOSIS,Metabolic,986,995.8,0.99,0.99,0.99,-0.119,Ordinary,Not in reference set,82.96,16.43,5.27,69.27,No,
CELECOXIB,CONGENITAL ANOMALY,Congenital,175,159.8,1.10,1.10,1.10,-0.119,Ordinary,Not in reference set,84.00,13.14,5.71,68.00,No,
DULOXETINE,RASH,Skin,1500,1535.9,0.98,0.98,0.97,-0.119,Ordinary,Not in reference set,83.47,18.00,6.13,65.93,No,
LISINOPRIL,RESPIRATORY DEPRESSION,Respiratory,933,940.4,0.99,0.99,0.99,-0.120,Ordinary,Not in reference set,84.46,18.11,6.75,68.49,No,
INSULIN GLARGINE,FOETAL MALFORMATION,Congenital,486,475.9,1.02,1.02,1.02,-0.120,Ordinary,Not in reference set,83.74,20.99,6.17,66.67,No,
TAMSULOSIN,DIARRHOEA,Gastrointestinal,1245,1267.7,0.98,0.98,0.98,-0.120,Ordinary,Not in reference set,81.53,17.99,4.98,65.70,No,
ATORVASTATIN,PANCREATITIS,Gastrointestinal,933,940.5,0.99,0.99,0.99,-0.120,Ordinary,Not in reference set,79.96,16.61,5.04,68.06,No,
AZITHROMYCIN,RHABDOMYOLYSIS,Musculoskeletal,832,835.0,1.00,1.00,1.00,-0.120,Ordinary,Not in reference set,81.85,15.38,4.81,67.43,No,
TAMSULOSIN,TACHYCARDIA,Cardiac,815,817.2,1.00,1.00,1.00,-0.120,Ordinary,Not in reference set,84.05,16.44,5.40,66.13,No,
VARENICLINE,MYALGIA,Musculoskeletal,788,789.1,1.00,1.00,1.00,-0.120,Ordinary,Not in reference set,86.04,18.15,4.44,66.24,No,
PREDNISONE,SEROTONIN SYNDROME,Nervous system,584,577.2,1.01,1.01,1.01,-0.120,Ordinary,Not in reference set,83.73,18.32,6.85,68.15,No,
TRAMADOL,ANAEMIA,Blood,1114,1130.2,0.99,0.98,0.98,-0.120,Ordinary,Not in reference set,81.51,16.25,5.12,66.34,No,
FEBUXOSTAT,TREMOR,Nervous system,545,536.9,1.02,1.02,1.02,-0.120,Ordinary,Not in reference set,83.67,20.18,6.79,69.17,No,
APIXABAN,AORTIC ANEURYSM,Vascular,403,390.7,1.03,1.03,1.03,-0.120,Ordinary,Not in reference set,85.11,16.87,8.44,64.27,No,
PANTOPRAZOLE,DYSPNOEA,Respiratory,1532,1570.2,0.98,0.97,0.97,-0.120,Ordinary,Not in reference set,82.77,16.51,6.79,66.84,No,
OMEPRAZOLE,HAEMORRHAGE,Vascular,1175,1194.4,0.98,0.98,0.98,-0.120,Ordinary,Not in reference set,84.09,16.94,5.11,66.72,No,
TAMSULOSIN,URTICARIA,Skin,809,811.1,1.00,1.00,1.00,-0.120,Ordinary,Not in reference set,80.10,17.55,5.93,64.40,No,
HYDROXYCHLOROQUINE,ACUTE KIDNEY INJURY,Renal,713,711.1,1.00,1.00,1.00,-0.120,Ordinary,Not in reference set,82.47,16.69,4.07,66.76,No,
ALLOPURINOL,RESPIRATORY DEPRESSION,Respiratory,497,487.4,1.02,1.02,1.02,-0.120,Ordinary,Not in reference set,81.29,17.91,7.04,64.19,No,
SITAGLIPTIN,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,756,756.0,1.00,1.00,1.00,-0.120,Ordinary,Not in reference set,81.08,16.01,5.95,65.87,No,
IBUPROFEN,ARTHRALGIA,Musculoskeletal,1936,1997.6,0.97,0.97,0.96,-0.120,Ordinary,Not in reference set,83.68,17.25,5.68,65.39,No,
DULOXETINE,ABDOMINAL PAIN,Gastrointestinal,1324,1351.3,0.98,0.98,0.98,-0.120,Ordinary,Not in reference set,82.70,16.77,5.97,68.50,No,
ONDANSETRON,SOMNOLENCE,Nervous system,1287,1312.4,0.98,0.98,0.98,-0.120,Ordinary,Not in reference set,84.15,18.34,4.74,66.82,No,
CIPROFLOXACIN,PARAESTHESIA,Nervous system,913,919.9,0.99,0.99,0.99,-0.120,Ordinary,Not in reference set,82.69,16.32,4.49,63.86,No,
METFORMIN,SEROTONIN SYNDROME,Nervous system,718,716.5,1.00,1.00,1.00,-0.120,Ordinary,Not in reference set,81.89,18.66,5.43,68.80,No,
CLOPIDOGREL,AGGRESSION,Psychiatric,468,457.6,1.02,1.02,1.03,-0.120,Ordinary,Not in reference set,84.62,18.80,4.91,65.60,No,
ATORVASTATIN,TOXIC EPIDERMAL NECROLYSIS,Skin,337,323.3,1.04,1.05,1.05,-0.120,Ordinary,Not in reference set,85.46,19.58,5.64,64.39,No,
SERTRALINE,ARTHRALGIA,Musculoskeletal,1727,1776.7,0.97,0.97,0.97,-0.120,Ordinary,Not in reference set,82.69,18.41,5.10,66.88,No,
GABAPENTIN,PANCYTOPENIA,Blood,899,905.4,0.99,0.99,0.99,-0.120,Ordinary,Not in reference set,82.65,16.46,5.78,66.52,No,
OMEPRAZOLE,RESPIRATORY DEPRESSION,Respiratory,844,847.9,1.00,0.99,0.99,-0.120,Ordinary,Not in reference set,82.94,17.42,4.74,66.11,No,
PREDNISONE,HEPATIC FAILURE,Hepatobiliary,526,517.5,1.02,1.02,1.02,-0.120,Ordinary,Not in reference set,81.75,17.87,5.32,68.63,No,
ISOTRETINOIN,DIABETIC KETOACIDOSIS,Metabolic,458,447.3,1.02,1.02,1.03,-0.120,Ordinary,Not in reference set,80.35,16.81,6.11,67.03,No,
ESOMEPRAZOLE,TORSADE DE POINTES,Cardiac,443,431.9,1.03,1.03,1.03,-0.120,Ordinary,Not in reference set,83.07,17.38,8.58,68.62,No,
AZITHROMYCIN,PANCREATITIS,Gastrointestinal,673,669.8,1.00,1.01,1.01,-0.121,Ordinary,Not in reference set,81.72,16.49,5.05,67.01,No,
METHOTREXATE,HALLUCINATION,Psychiatric,411,399.1,1.03,1.03,1.03,-0.121,Ordinary,Not in reference set,80.05,17.03,4.38,68.61,No,
APIXABAN,AMPUTATION,Procedural,376,363.2,1.04,1.04,1.04,-0.121,Ordinary,Not in reference set,82.98,14.10,3.72,67.55,No,
INSULIN GLARGINE,DYSPNOEA,Respiratory,1317,1344.5,0.98,0.98,0.98,-0.121,Ordinary,Not in reference set,83.52,15.95,5.24,67.81,No,
CANAGLIFLOZIN,SOMNOLENCE,Nervous system,819,822.1,1.00,1.00,1.00,-0.121,Ordinary,Not in reference set,82.17,20.27,4.64,66.79,No,
AZITHROMYCIN,PRURITUS,Skin,1502,1539.6,0.98,0.97,0.97,-0.121,Ordinary,Not in reference set,81.89,15.05,6.86,66.78,No,
TRAMADOL,COUGH,Respiratory,1305,1331.9,0.98,0.98,0.98,-0.121,Ordinary,Not in reference set,84.21,17.47,5.67,66.36,No,
ALLOPURINOL,DIZZINESS,Nervous system,1275,1300.3,0.98,0.98,0.98,-0.121,Ordinary,Not in reference set,83.37,16.78,5.18,65.10,No,
ESOMEPRAZOLE,ATRIAL FIBRILLATION,Cardiac,875,880.6,0.99,0.99,0.99,-0.121,Ordinary,Not in reference set,82.17,17.37,5.60,67.77,No,
ESOMEPRAZOLE,SEIZURE,Nervous system,688,685.6,1.00,1.00,1.00,-0.121,Ordinary,Not in reference set,83.58,19.91,5.09,67.30,No,
VALPROATE,AGGRESSION,Psychiatric,349,335.7,1.04,1.04,1.04,-0.121,Ordinary,Not in reference set,83.38,18.05,5.44,64.18,No,
TRAMADOL,INSOMNIA,Psychiatric,1547,1587.3,0.97,0.97,0.97,-0.121,Ordinary,Not in reference set,81.71,17.19,5.17,66.45,No,
ALBUTEROL,MYALGIA,Musculoskeletal,1526,1565.1,0.98,0.97,0.97,-0.121,Ordinary,Not in reference set,84.14,15.79,5.31,66.25,No,
MONTELUKAST,PARAESTHESIA,Nervous system,1163,1182.7,0.98,0.98,0.98,-0.121,Ordinary,Not in reference set,82.29,20.12,6.53,67.15,No,
ROSUVASTATIN,RHABDOMYOLYSIS,Musculoskeletal,935,943.5,0.99,0.99,0.99,-0.121,Ordinary,Not in reference set,81.18,15.61,4.71,66.63,No,
ESOMEPRAZOLE,HALLUCINATION,Psychiatric,473,463.0,1.02,1.02,1.02,-0.121,Ordinary,Not in reference set,81.82,14.80,5.71,70.61,No,
IBUPROFEN,PYREXIA,General,1678,1725.8,0.97,0.97,0.97,-0.121,Ordinary,Not in reference set,82.18,18.12,5.24,67.10,No,
GABAPENTIN,DEHYDRATION,Metabolic,1002,1013.7,0.99,0.99,0.99,-0.121,Ordinary,Not in reference set,81.94,17.37,4.99,66.27,No,
CLOZAPINE,TENDONITIS,Musculoskeletal,179,164.0,1.09,1.10,1.10,-0.121,Ordinary,Not in reference set,87.15,18.44,3.91,65.92,No,
METHOTREXATE,TREMOR,Nervous system,787,788.9,1.00,1.00,1.00,-0.121,Ordinary,Not in reference set,85.51,18.04,5.72,66.45,No,
SITAGLIPTIN,RESPIRATORY DEPRESSION,Respiratory,489,479.5,1.02,1.02,1.02,-0.121,Ordinary,Not in reference set,82.41,17.38,7.36,64.62,No,
CLOPIDOGREL,SEIZURE,Nervous system,685,682.7,1.00,1.00,1.00,-0.121,Ordinary,Not in reference set,83.65,16.93,5.69,64.82,No,
FUROSEMIDE,SEROTONIN SYNDROME,Nervous system,587,580.9,1.01,1.01,1.01,-0.121,Ordinary,Not in reference set,84.16,18.40,5.62,71.04,No,
ESOMEPRAZOLE,AMPUTATION,Procedural,434,422.9,1.03,1.03,1.03,-0.121,Ordinary,Not in reference set,85.25,19.35,5.99,65.90,No,
FUROSEMIDE,PANCREATITIS,Gastrointestinal,763,764.0,1.00,1.00,1.00,-0.121,Ordinary,Not in reference set,81.00,15.47,6.03,68.55,No,
TRAMADOL,TOXIC EPIDERMAL NECROLYSIS,Skin,245,230.2,1.06,1.07,1.07,-0.121,Ordinary,Not in reference set,84.08,18.37,5.71,68.16,No,
TRAMADOL,SOMNOLENCE,Nervous system,1138,1156.8,0.98,0.98,0.98,-0.122,Ordinary,Not in reference set,81.37,15.91,6.77,64.67,No,
CIPROFLOXACIN,CLOSTRIDIUM DIFFICILE COLITIS,Gastrointestinal,524,515.8,1.02,1.02,1.02,-0.122,Ordinary,Not in reference set,83.40,16.41,5.73,64.89,No,
ALBUTEROL,THROMBOCYTOPENIA,Blood,765,766.2,1.00,1.00,1.00,-0.122,Ordinary,Not in reference set,86.54,20.39,5.36,67.71,No,
PREDNISONE,LACTIC ACIDOSIS,Metabolic,740,740.1,1.00,1.00,1.00,-0.122,Ordinary,Not in reference set,84.32,18.51,5.68,67.03,No,
CANAGLIFLOZIN,AGGRESSION,Psychiatric,340,326.7,1.04,1.04,1.04,-0.122,Ordinary,Not in reference set,79.41,15.00,6.18,64.12,No,
CIPROFLOXACIN,TACHYCARDIA,Cardiac,1123,1141.3,0.98,0.98,0.98,-0.122,Ordinary,Not in reference set,82.99,16.47,4.63,66.34,No,
AMIODARONE,ABDOMINAL PAIN,Gastrointestinal,1104,1121.3,0.98,0.98,0.98,-0.122,Ordinary,Not in reference set,82.25,17.93,6.07,67.48,No,
AZITHROMYCIN,ATRIAL FIBRILLATION,Cardiac,875,881.3,0.99,0.99,0.99,-0.122,Ordinary,Not in reference set,80.57,16.69,5.71,67.20,No,
ESOMEPRAZOLE,ACUTE KIDNEY INJURY,Renal,973,984.0,0.99,0.99,0.99,-0.122,Ordinary,Not in reference set,81.19,14.90,5.55,67.93,No,
AMLODIPINE,HYPERKALAEMIA,Metabolic,951,961.0,0.99,0.99,0.99,-0.122,Ordinary,Not in reference set,85.91,18.40,4.84,68.03,No,
GABAPENTIN,MALAISE,General,1242,1266.8,0.98,0.98,0.98,-0.122,Ordinary,Not in reference set,83.09,17.71,4.99,65.30,No,
ISOTRETINOIN,MYOCARDIAL INFARCTION,Cardiac,672,669.6,1.00,1.00,1.00,-0.122,Ordinary,Not in reference set,80.95,18.15,7.29,62.20,No,
TAMSULOSIN,WEIGHT DECREASED,Investigations,655,652.0,1.00,1.00,1.01,-0.122,Ordinary,Not in reference set,83.05,15.11,6.11,67.02,No,
METFORMIN,MALAISE,General,1538,1579.4,0.97,0.97,0.97,-0.122,Ordinary,Not in reference set,84.01,17.75,4.94,64.56,No,
AZITHROMYCIN,WEIGHT DECREASED,Investigations,902,909.9,0.99,0.99,0.99,-0.122,Ordinary,Not in reference set,85.14,15.30,5.21,67.41,No,
TAMSULOSIN,PANCREATITIS,Gastrointestinal,489,480.0,1.02,1.02,1.02,-0.123,Ordinary,Not in reference set,82.21,17.59,4.29,65.64,No,
APIXABAN,RASH,Skin,1481,1519.3,0.97,0.97,0.97,-0.123,Ordinary,Not in reference set,83.79,18.16,5.06,69.55,No,
AMLODIPINE,AGRANULOCYTOSIS,Blood,823,827.3,0.99,0.99,0.99,-0.123,Ordinary,Not in reference set,81.90,15.80,4.01,63.55,No,
ESOMEPRAZOLE,HEPATIC FAILURE,Hepatobiliary,466,456.3,1.02,1.02,1.02,-0.123,Ordinary,Not in reference set,82.83,17.60,5.36,69.74,No,
CLOPIDOGREL,STEVENS-JOHNSON SYNDROME,Skin,430,419.2,1.03,1.03,1.03,-0.123,Ordinary,Not in reference set,83.49,17.21,4.19,68.37,No,
VARENICLINE,MEMORY IMPAIRMENT,Nervous system,408,396.6,1.03,1.03,1.03,-0.123,Ordinary,Not in reference set,84.56,19.61,5.64,63.48,No,
PREDNISONE,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1492,1531.1,0.97,0.97,0.97,-0.123,Ordinary,Not in reference set,84.12,17.63,5.43,66.62,No,
SERTRALINE,CONSTIPATION,Gastrointestinal,1476,1514.3,0.97,0.97,0.97,-0.123,Ordinary,Not in reference set,82.86,16.26,5.76,67.14,No,
PANTOPRAZOLE,AGRANULOCYTOSIS,Blood,601,596.1,1.01,1.01,1.01,-0.123,Ordinary,Not in reference set,83.53,17.47,7.65,63.73,No,
VALPROATE,PANCYTOPENIA,Blood,591,585.7,1.01,1.01,1.01,-0.123,Ordinary,Not in reference set,77.83,14.55,6.09,66.84,No,
CLOPIDOGREL,HYPERKALAEMIA,Metabolic,688,686.6,1.00,1.00,1.00,-0.123,Ordinary,Not in reference set,82.12,16.72,4.51,65.12,No,
FEBUXOSTAT,PULMONARY FIBROSIS,Respiratory,327,313.7,1.04,1.04,1.05,-0.123,Ordinary,Not in reference set,85.02,19.88,7.03,65.14,No,
ONDANSETRON,PANCREATITIS,Gastrointestinal,758,759.7,1.00,1.00,1.00,-0.123,Ordinary,Not in reference set,80.47,14.91,5.28,67.41,No,
INSULIN GLARGINE,HYPONATRAEMIA,Metabolic,744,745.0,1.00,1.00,1.00,-0.123,Ordinary,Not in reference set,84.81,17.34,5.24,66.26,No,
CELECOXIB,ALOPECIA,Skin,648,645.0,1.00,1.00,1.01,-0.123,Ordinary,Not in reference set,85.19,17.13,6.33,66.98,No,
